0:0:30 - 0:0:31: I'm sorry.
0:0:31 - 0:0:32: No worries.
0:0:32 - 0:0:33: Bye.
0:31:54 - 0:32:0: The project of expansion of the transformation and cabinet expansion system.
0:32:0 - 0:32:2: The cabinet and the one of Nueva Torluviejo.
0:32:4 - 0:32:6: We think that the studio mercado Nueva Torluviejo has taken a little bit of time.
0:32:6 - 0:32:10: Because they have asked us for more time for the project.
0:32:10 - 0:32:14: So that is why we have not been able to finish the studio mercado.
0:32:16 - 0:32:18: And that's all.
0:32:24 - 0:32:26: We will not go into translation.
0:32:30 - 0:32:32: Translation.
0:32:54 - 0:32:56: Translation.
0:32:56 - 0:32:58: Translation.
0:33:26 - 0:33:28: Translation.
0:33:28 - 0:33:30: Translation.
0:33:30 - 0:33:32: Translation.
0:33:32 - 0:33:34: Translation.
0:33:34 - 0:33:36: Translation.
0:33:36 - 0:33:38: Translation.
0:33:38 - 0:33:40: Translation.
0:33:40 - 0:33:42: Translation.
0:33:42 - 0:33:44: Translation.
0:33:44 - 0:33:46: Translation.
0:33:46 - 0:33:48: Translation.
0:33:48 - 0:33:50: Translation.
0:33:50 - 0:33:52: Translation.
0:33:52 - 0:33:54: Translation.
0:33:54 - 0:33:56: Translation.
0:33:56 - 0:33:58: Translation.
0:33:58 - 0:34:0: Translation.
0:34:0 - 0:34:2: Translation.
0:34:2 - 0:34:4: Translation.
0:34:4 - 0:34:6: Translation.
0:34:6 - 0:34:8: Translation.
0:34:8 - 0:34:10: Translation.
0:34:10 - 0:34:12: Translation.
0:34:12 - 0:34:14: Translation.
0:34:14 - 0:34:16: Translation.
0:34:16 - 0:34:18: Translation.
0:34:18 - 0:34:20: Translation.
0:34:20 - 0:34:22: Translation.
0:34:22 - 0:34:26: Space to see what is advanced this week. That's how it is.
0:34:26 - 0:34:27: A lot of it.
0:34:27 - 0:34:31: And in the Martelo part, I advance,
0:34:31 - 0:34:39: you tell us please, you show us the excel where Martelo gave us the advances, ready?
0:34:39 - 0:34:40: Yes.
0:34:40 - 0:34:43: Ok, now Jesus.
0:34:43 - 0:34:48: Read, read. The act of now civil and electrical assembly, the Novarjonas station,
0:34:48 - 0:34:51: I understand that Novarjonas is no longer going,
0:34:51 - 0:34:52: so...
0:34:52 - 0:34:54: But official?
0:34:54 - 0:34:59: I don't know if it's official, until now I think it's been said that it's not going,
0:34:59 - 0:35:4: however, I don't know what meeting was held Friday before Easter,
0:35:4 - 0:35:6: I don't know what Alberto told you.
0:35:6 - 0:35:8: Alberto, what did he say?
0:35:8 - 0:35:14: Alberto, what he said is that we are going to do a control of changes,
0:35:14 - 0:35:19: I don't know if this week or the other, it's better to do it,
0:35:19 - 0:35:26: and to get Arjona, Novarjonas, from the chronograms, from the transversal and in fact from Joseph's,
0:35:26 - 0:35:33: and that depending on the definition that is made, it is included again or it is left excluded, yes?
0:35:33 - 0:35:38: Because what has to do with Novarjonas is already marking us delays,
0:35:38 - 0:35:43: both in Joseph's chronogram and in this transversal chronogram,
0:35:44 - 0:35:49: and there is still no definition if it goes or not, and if it goes or not, it starts to generate delays,
0:35:49 - 0:35:54: and not, well, something that does not depend on the team, yes?
0:35:54 - 0:35:58: That's what I told him, so I have to wait and see what he decides,
0:35:58 - 0:36:3: finally, if, as I said, let's start from afar rather,
0:36:3 - 0:36:9: we with the task from tomorrow to start building the control of changes to exclude Novarjonas,
0:36:9 - 0:36:15: and then the session will be organized and all the meetings to present that control of changes.
0:36:19 - 0:36:24: Act 7, design of the station, new station, everything old,
0:36:28 - 0:36:37: that has not had much progress because I would have to confirm right now with Luis Carlos,
0:36:37 - 0:36:42: if they are always going to include it because until the last one, nothing has been done for that,
0:36:42 - 0:36:46: we have to confirm it well with Luis Carlos,
0:36:46 - 0:36:51: that has a basis for the topic of specifications,
0:36:51 - 0:36:55: but as such the control process has not advanced at all,
0:36:55 - 0:36:57: we do not know anything about that,
0:36:57 - 0:36:59: design of the new station, everything old,
0:36:59 - 0:37:5: we would have to confirm it well with Luis Carlos,
0:37:5 - 0:37:7: that has not been assembled, that has not been assembled,
0:37:7 - 0:37:11: and the process of controlling and protecting new stations,
0:37:11 - 0:37:16: those who started it, that process was already assembled,
0:37:16 - 0:37:22: or well, the purchase assignment was already requested,
0:37:22 - 0:37:27: let's wait for them to assign us to start the project,
0:37:28 - 0:37:30: what else?
0:37:30 - 0:37:33: We are Lotes, License of Construction,
0:37:33 - 0:37:35: we are going to transfer it,
0:37:35 - 0:37:39: I am Arti Juan, I am Fabio right now,
0:37:39 - 0:37:42: process of better quality,
0:37:42 - 0:37:45: and we already have market studies,
0:37:45 - 0:37:48: this week the idea is to have everything ready,
0:37:48 - 0:37:50: how to make a private offer,
0:37:50 - 0:37:53: and send it to the financial department,
0:37:53 - 0:37:58: so that they can make the financial assessment
0:37:58 - 0:38:0: of the three providers that we are going to invite,
0:38:0 - 0:38:2: so that it is ready,
0:38:2 - 0:38:5: and I have already left all the documentation ready,
0:38:5 - 0:38:8: to take that process to the contract committee,
0:38:8 - 0:38:11: we hope to be able to take it next week.
0:38:11 - 0:38:21: Well, the act of work is electromechanical,
0:38:21 - 0:38:25: the driver's deposition cabinet,
0:38:25 - 0:38:30: until now we have only received market studies,
0:38:30 - 0:38:34: we are still waiting for at least two more,
0:38:34 - 0:38:36: until the reference three,
0:38:37 - 0:38:39: I think this week,
0:38:39 - 0:38:41: I think that between today and tomorrow,
0:38:41 - 0:38:45: we will be able to start the market.
0:38:47 - 0:38:50: The protection and new protection of all the old,
0:38:50 - 0:38:53: is advancing on the topic of specifications,
0:38:53 - 0:38:55: I don't know Sebastián,
0:38:55 - 0:39:1: if you have any comment about the protection and new protection.
0:39:1 - 0:39:6: Yes, I did a meeting on Tuesday,
0:39:6 - 0:39:8: with all the providers there,
0:39:8 - 0:39:10: to look at the issue of doubts and that,
0:39:10 - 0:39:12: and they asked us this week,
0:39:12 - 0:39:14: to extend a period to see if it was on the market,
0:39:14 - 0:39:16: because they were not working,
0:39:16 - 0:39:18: that week they had lost it,
0:39:18 - 0:39:20: and well,
0:39:20 - 0:39:23: there we gave them a little more time this week,
0:39:23 - 0:39:25: to be able to finish that.
0:39:29 - 0:39:31: Yes, Rafael,
0:39:31 - 0:39:33: the process is simple,
0:39:33 - 0:39:35: of medium tension and transformer,
0:39:35 - 0:39:39: and this week we should be releasing market studies,
0:39:43 - 0:39:45: of cables,
0:39:45 - 0:39:47: the issue of folds,
0:39:47 - 0:39:50: we would have to check with Doris,
0:39:50 - 0:39:52: who is the operator of the game,
0:39:52 - 0:39:56: with the fold,
0:39:56 - 0:39:58: and she is showing
0:39:59 - 0:40:3: a deviation of 7%
0:40:4 - 0:40:9: and we should be releasing it this week,
0:40:9 - 0:40:11: publishing it at the end,
0:40:11 - 0:40:13: we want it to be possible.
0:40:13 - 0:40:17: And the high duty of setting up the transformer,
0:40:17 - 0:40:19: because it would also be the same situation,
0:40:19 - 0:40:21: the market studies,
0:40:21 - 0:40:23: the mobile pages 110,
0:40:23 - 0:40:25: we already have the market studies,
0:40:25 - 0:40:29: we can also organize all the documentation,
0:40:29 - 0:40:31: the same for mobile transformers,
0:40:31 - 0:40:35: we already have the three market studies,
0:40:35 - 0:40:37: to optimize the prices,
0:40:37 - 0:40:41: and it would be to do all the documents that are missing,
0:40:41 - 0:40:43: to get that process and take it to the contract committee,
0:40:43 - 0:40:45: and that would also go to the board of directors,
0:40:45 - 0:40:47: because it is superior to 10 nipers.
0:40:53 - 0:40:55: Well, and well,
0:40:55 - 0:40:57: everything that is now possible,
0:40:57 - 0:40:59: we know that we are going to get it in one or two acts,
0:40:59 - 0:41:3: until now we only have the first act that is going to be released,
0:41:3 - 0:41:5: the market studies,
0:41:5 - 0:41:9: and the design of the Trubaco,
0:41:9 - 0:41:11: that is already legalized, right?
0:41:13 - 0:41:15: I don't know if it is missing there.
0:41:15 - 0:41:17: I think it is there,
0:41:17 - 0:41:19: but we have not done the initial work,
0:41:19 - 0:41:21: we are dilating it a bit,
0:41:21 - 0:41:25: because we do not have the Trubaco,
0:41:25 - 0:41:27: so to be able to start the design,
0:41:27 - 0:41:29: we need to have a designer,
0:41:29 - 0:41:31: you leave here and you get here,
0:41:31 - 0:41:33: and we don't have that lot,
0:41:33 - 0:41:37: so we have to continue that search for the Trubaco lot,
0:41:37 - 0:41:39: to come to that to be able to design the constructor,
0:41:39 - 0:41:41: so we are trying to dilate the issue a bit,
0:41:41 - 0:41:45: but we could already make an initial order,
0:41:45 - 0:41:47: but we would start to eat the time of the contract.
0:41:57 - 0:42:1: That is already marking behind, ok?
0:42:3 - 0:42:5: Yes, it reached 1%.
0:42:9 - 0:42:11: I imagine it does not have an order,
0:42:11 - 0:42:13: because it still does not have the initial order,
0:42:13 - 0:42:15: so that is what it is marking there,
0:42:15 - 0:42:17: that it should be formalized.
0:42:17 - 0:42:19: That one?
0:42:19 - 0:42:21: Yes, it is 99.
0:42:23 - 0:42:25: Basically, that would be it,
0:42:25 - 0:42:27: and the protection control,
0:42:27 - 0:42:29: what we were most ahead of,
0:42:29 - 0:42:31: would be the new suestration,
0:42:31 - 0:42:33: the suestration Guadalpurí,
0:42:33 - 0:42:35: that we are already creating a buyer,
0:42:35 - 0:42:37: the renovation of protections,
0:42:37 - 0:42:39: to the board of directors,
0:42:43 - 0:42:45: and the other that is out there,
0:42:45 - 0:42:47: the protection control,
0:42:47 - 0:42:49: to the market studios,
0:42:49 - 0:42:51: or civil works, also market studios,
0:42:51 - 0:42:53: and what are teams,
0:42:53 - 0:42:55: cell, transformers,
0:42:55 - 0:42:57: and the value team.
0:42:57 - 0:43:1: We are already in the process of structuring everything.
0:43:3 - 0:43:5: Let's quickly summarize.
0:43:19 - 0:43:21: Fabi, are you happy?
0:43:21 - 0:43:23: Yes?
0:43:27 - 0:43:29: I already said that there are some challenges
0:43:29 - 0:43:31: in terms of the procedures.
0:43:33 - 0:43:35: The novelty would be
0:43:35 - 0:43:37: the permission of the national agency
0:43:37 - 0:43:39: of Guadalpurá,
0:43:39 - 0:43:41: that already had policies,
0:43:41 - 0:43:43: and today is the issue of the initial order,
0:43:43 - 0:43:45: the signing.
0:43:47 - 0:43:49: And the challenge,
0:43:49 - 0:43:51: is that the lines,
0:43:51 - 0:43:53: the form of the form of the application,
0:43:53 - 0:43:55: the letter of request,
0:43:55 - 0:43:57: that are like the manager's vocabulary,
0:43:57 - 0:43:59: are pending.
0:43:59 - 0:44:1: Of all those lines,
0:44:1 - 0:44:3: yes, the names,
0:44:3 - 0:44:5: C10, C16, C18,
0:44:5 - 0:44:7: the public spaces, right?
0:44:7 - 0:44:9: Yes, public spaces.
0:44:9 - 0:44:11: That was already done
0:44:11 - 0:44:13: again in all the documents
0:44:13 - 0:44:15: and it was formalized.
0:44:15 - 0:44:17: The book that was starting today.
0:44:17 - 0:44:19: And now,
0:44:19 - 0:44:21: the other one, which was the new recommendation
0:44:21 - 0:44:23: of the Guadalpurín, the construction license,
0:44:23 - 0:44:25: is pending to receive the documentation.
0:44:25 - 0:44:27: It would be content to receive the
0:44:27 - 0:44:29: draft document of March of the same year.
0:44:29 - 0:44:31: Yes, that is the one that
0:44:31 - 0:44:33: we were talking about,
0:44:33 - 0:44:35: that already has
0:44:35 - 0:44:37: a license,
0:44:37 - 0:44:39: but it will be five lives
0:44:39 - 0:44:41: for the new ones.
0:44:41 - 0:44:43: Exactly.
0:44:43 - 0:44:45: Or it will need to be updated.
0:44:47 - 0:44:49: Ok.
0:44:53 - 0:44:55: Well,
0:44:55 - 0:44:57: we will continue with the various
0:44:57 - 0:44:59: issues of execution.
0:44:59 - 0:45:1: As for
0:45:1 - 0:45:3: the risk matrices,
0:45:3 - 0:45:5: the first revision
0:45:5 - 0:45:7: is estimated
0:45:7 - 0:45:9: in the open process
0:45:9 - 0:45:11: and there are
0:45:11 - 0:45:13: several
0:45:13 - 0:45:15: lists,
0:45:15 - 0:45:17: the projects list,
0:45:17 - 0:45:19: except for the delineation,
0:45:19 - 0:45:23: we reviewed the delineation and the matrices were generated.
0:45:23 - 0:45:25: If everything went well, Miguel.
0:45:25 - 0:45:27: The only thing that
0:45:27 - 0:45:29: I am looking at is the scope,
0:45:29 - 0:45:31: we would have to enter one by one to put the scope.
0:45:31 - 0:45:35: If you put the scope from the beginning,
0:45:35 - 0:45:37: if you want, now who is projecting?
0:45:37 - 0:45:39: Me.
0:45:39 - 0:45:41: Well, if you want, we will talk about it.
0:45:41 - 0:45:43: As I send the macro,
0:45:43 - 0:45:45: it fills the first list,
0:45:45 - 0:45:47: which is the introduction.
0:45:49 - 0:45:51: But there is a box
0:45:51 - 0:45:53: below the scope.
0:45:53 - 0:45:55: The scope is the same for all.
0:45:55 - 0:45:57: I don't know if we can...
0:45:57 - 0:45:59: If we enter one by one,
0:45:59 - 0:46:1: because for example, the line reposition
0:46:1 - 0:46:3: is the same scope, the structure reposition...
0:46:5 - 0:46:7: That is a failure because
0:46:7 - 0:46:11: I didn't give it the importance of that part.
0:46:11 - 0:46:13: But that is an auditory,
0:46:13 - 0:46:15: if you look at it, what is the scope of that project?
0:46:15 - 0:46:17: So it's down there.
0:46:17 - 0:46:19: We can put it... well, I only put it in the list.
0:46:23 - 0:46:25: In the list, put that box
0:46:25 - 0:46:27: of scope that already...
0:46:27 - 0:46:29: What is it sounding?
0:46:29 - 0:46:31: That is the operation, that mark.
0:46:31 - 0:46:33: What is happening to him?
0:46:35 - 0:46:37: What?
0:46:37 - 0:46:39: Yes, put that box of scope on the list,
0:46:39 - 0:46:41: the copy down there.
0:46:41 - 0:46:43: And it would be all full.
0:46:43 - 0:46:45: I started to check one by one and it was done.
0:46:47 - 0:46:49: With MIG and INEAS, it was generated.
0:46:51 - 0:46:53: The other concern that arises to me is
0:46:53 - 0:46:55: that if we put the start date,
0:46:55 - 0:46:57: we would have to have the follow-up.
0:46:59 - 0:47:1: Because if not the start date, it would be...
0:47:1 - 0:47:3: The same.
0:47:3 - 0:47:5: The same, exactly.
0:47:5 - 0:47:7: If I put the start date,
0:47:7 - 0:47:9: I would have to have the follow-up.
0:47:11 - 0:47:13: Well, you play with that.
0:47:13 - 0:47:15: If we put the same,
0:47:15 - 0:47:17: maybe one of the disorders, the blue,
0:47:17 - 0:47:19: we implement it from that date,
0:47:19 - 0:47:21: and from that date we have already made follow-ups.
0:47:23 - 0:47:25: But if they are in disorder,
0:47:25 - 0:47:27: and I have one in 2020,
0:47:27 - 0:47:29: I would have to have all the follow-ups.
0:47:29 - 0:47:31: If they are four per year,
0:47:31 - 0:47:33: you should have all the results.
0:47:33 - 0:47:35: That's what you would have to do
0:47:35 - 0:47:37: to talk to Alberto.
0:47:37 - 0:47:39: For example, let's make a follow-up on April 12th.
0:47:41 - 0:47:43: Take that as the first follow-up.
0:47:43 - 0:47:45: Then all the matrixes of arrangement
0:47:45 - 0:47:47: with dates from three months ago,
0:47:47 - 0:47:49: so that you know the first one and we don't start there.
0:47:49 - 0:47:51: It would be like what...
0:47:53 - 0:47:55: Because as the project start date says,
0:47:55 - 0:47:57: many projects started from 2022, 2020.
0:47:59 - 0:48:1: To define the date of the start.
0:48:1 - 0:48:3: The start of the follow-up.
0:48:3 - 0:48:7: Because with that we would have to have all the follow-ups.
0:48:9 - 0:48:11: I would make it easier for everyone to have the date in January,
0:48:11 - 0:48:13: and this one in February,
0:48:13 - 0:48:15: and the first follow-up.
0:48:15 - 0:48:17: And even if it doesn't matter,
0:48:17 - 0:48:19: we are already implementing that follow-up.
0:48:21 - 0:48:23: From January.
0:48:23 - 0:48:25: So that we don't have to think about
0:48:25 - 0:48:27: what was done in 2022.
0:48:31 - 0:48:33: I think you sometimes leave projects ready,
0:48:33 - 0:48:35: but they start years later.
0:48:37 - 0:48:39: So that you can take that commitment
0:48:39 - 0:48:41: to be doing the work.
0:48:43 - 0:48:45: Next, Estarles Eres.
0:48:51 - 0:48:53: I think it's a commitment.
0:48:55 - 0:48:57: As for the projections and execution,
0:48:57 - 0:48:59: the MPA update,
0:49:1 - 0:49:5: that same day after the meeting on March 15,
0:49:5 - 0:49:9: Miguel told us that the update was already done.
0:49:11 - 0:49:13: There was a re-classification,
0:49:13 - 0:49:15: that was already done,
0:49:15 - 0:49:17: but Juan said that it was already done.
0:49:17 - 0:49:19: So the next update is already done.
0:49:19 - 0:49:21: The MPA update was done well,
0:49:21 - 0:49:23: but in the update,
0:49:23 - 0:49:27: a re-classification was already done.
0:49:27 - 0:49:29: But in the end,
0:49:29 - 0:49:31: it was already done.
0:49:31 - 0:49:33: It was done in the whole area.
0:49:35 - 0:49:37: Well, there is also the update note
0:49:37 - 0:49:39: of the projections,
0:49:39 - 0:49:41: once the new substation is defined.
0:49:43 - 0:49:45: So, well, here you already know
0:49:45 - 0:49:47: what Fabi told us,
0:49:47 - 0:49:49: it would be to update the chronograms
0:49:49 - 0:49:51: and suddenly also the MPA.
0:49:53 - 0:49:55: Oh, really, in the subject of projections,
0:49:55 - 0:49:57: in the end, how did that thing look?
0:49:59 - 0:50:1: That was simulated
0:50:1 - 0:50:3: with the pesos that we put,
0:50:3 - 0:50:5: the payment dates that we put in the MPA,
0:50:5 - 0:50:7: it was simulated as if it were in Curri.
0:50:9 - 0:50:11: Yes.
0:50:11 - 0:50:13: Yes, of course.
0:50:13 - 0:50:15: And we did,
0:50:15 - 0:50:17: what day did I send you
0:50:19 - 0:50:21: the displacements?
0:50:21 - 0:50:23: And I'm going to return,
0:50:23 - 0:50:25: I'm going to send you the most clarity,
0:50:27 - 0:50:29: how the projections were.
0:50:29 - 0:50:31: We started from an MPA
0:50:31 - 0:50:33: that they gave us,
0:50:33 - 0:50:35: Juan shared with us.
0:50:35 - 0:50:37: That week I was there,
0:50:37 - 0:50:39: that week they sent us an MPA.
0:50:39 - 0:50:41: And with that MPA,
0:50:41 - 0:50:43: it was taken as a baseline,
0:50:43 - 0:50:45: which is what Alberto talked about.
0:50:45 - 0:50:47: With that, the connection was made
0:50:47 - 0:50:49: with the virtual chronograms,
0:50:49 - 0:50:51: the payment dates,
0:50:51 - 0:50:53: and the cloning was taken out
0:50:53 - 0:50:55: according to those payment dates
0:50:55 - 0:50:57: and what the chronograms gave us.
0:50:59 - 0:51:1: And that was our baseline
0:51:1 - 0:51:3: for what was built in virtual.
0:51:5 - 0:51:7: And now,
0:51:7 - 0:51:9: Abra shared them all
0:51:9 - 0:51:11: the same.
0:51:11 - 0:51:13: And depending on the advances
0:51:13 - 0:51:15: that are made week by week
0:51:15 - 0:51:17: in the projects, it works the same, Miguel.
0:51:17 - 0:51:19: You can see the displacements.
0:51:19 - 0:51:21: I think, I don't remember,
0:51:21 - 0:51:23: but last week,
0:51:23 - 0:51:25: not last week,
0:51:25 - 0:51:27: I was going to download the artwork
0:51:27 - 0:51:29: as we were doing.
0:51:29 - 0:51:31: It's the same format,
0:51:31 - 0:51:33: it's running the same format.
0:51:33 - 0:51:35: Yes, it's in the same format,
0:51:35 - 0:51:37: but you can still download it.
0:51:37 - 0:51:39: I sent it to you on the 21st,
0:51:39 - 0:51:41: March 21st.
0:51:43 - 0:51:45: He laughed.
0:51:45 - 0:51:47: Ready? I sent them all,
0:51:47 - 0:51:49: I shared them all,
0:51:49 - 0:51:51: the displacements, to that cut.
0:51:51 - 0:51:53: So, I'm going to
0:51:53 - 0:51:55: send them tomorrow.
0:51:55 - 0:51:57: I'll tell them to send it back tomorrow
0:51:57 - 0:51:59: and I'll send it tomorrow.
0:51:59 - 0:52:1: I'll make sure they have it all.
0:52:1 - 0:52:3: I'll put it on a sheet,
0:52:3 - 0:52:5: as planned,
0:52:5 - 0:52:7: but it was according to that baseline,
0:52:7 - 0:52:9: at that time, with the MPA,
0:52:9 - 0:52:11: that was the baseline.
0:52:13 - 0:52:15: And the displacements,
0:52:15 - 0:52:17: as all the chronos were updated with cut yesterday,
0:52:17 - 0:52:19: I'm going to tell them to run it
0:52:19 - 0:52:21: so it shows us
0:52:21 - 0:52:23: how the budget would be
0:52:23 - 0:52:25: displaced according to those updates.
0:52:25 - 0:52:27: I'll leave that task to you,
0:52:27 - 0:52:29: Juan Andalés.
0:52:37 - 0:52:39: Well, we have several questions.
0:52:39 - 0:52:41: The process continues,
0:52:41 - 0:52:43: the subsequent
0:52:43 - 0:52:45: order of change with the
0:52:45 - 0:52:47: purchasing processes that are going to
0:52:47 - 0:52:49: be subdivided.
0:52:49 - 0:52:51: Additionally, the definition
0:52:51 - 0:52:53: of Nueva Aljona,
0:52:53 - 0:52:55: right? And
0:52:55 - 0:52:57: I don't know what I was talking about with Fábio
0:52:57 - 0:52:59: these days,
0:52:59 - 0:53:1: the topics that you have already identified
0:53:1 - 0:53:3: in your chronograms,
0:53:3 - 0:53:5: that could be connection errors
0:53:5 - 0:53:7: in the logical sequence,
0:53:7 - 0:53:9: activities,
0:53:9 - 0:53:11: let's say, yes, particularities
0:53:11 - 0:53:13: that could be adjusted
0:53:13 - 0:53:15: at once,
0:53:15 - 0:53:17: have them listed at once,
0:53:17 - 0:53:19: that is, referenced by the
0:53:19 - 0:53:21: legislation, what is the modification,
0:53:21 - 0:53:23: to include them within a modification,
0:53:23 - 0:53:25: a large order of change,
0:53:25 - 0:53:27: not to carry out a particular
0:53:27 - 0:53:29: change order
0:53:29 - 0:53:31: on such small
0:53:31 - 0:53:33: issues, right?
0:53:33 - 0:53:35: So, yes,
0:53:35 - 0:53:37: have them listed there always
0:53:37 - 0:53:39: present, and that will continue to happen
0:53:39 - 0:53:41: because, well, there is no perfect chronogram,
0:53:41 - 0:53:43: those things happen all the time.
0:53:57 - 0:53:59: And well, on the other hand, we have
0:53:59 - 0:54:1: the follow-up of the
0:54:1 - 0:54:3: commitments,
0:54:3 - 0:54:5: which we have
0:54:5 - 0:54:7: here
0:54:7 - 0:54:9: to complete a meeting
0:54:9 - 0:54:11: with the maintenance area,
0:54:11 - 0:54:13: in which
0:54:13 - 0:54:15: agreements were reached
0:54:15 - 0:54:17: which support the change
0:54:17 - 0:54:19: order.
0:54:19 - 0:54:21: And that commitment is also linked to
0:54:21 - 0:54:23: the following, which is to share
0:54:23 - 0:54:25: the relation of where the measures were installed.
0:54:27 - 0:54:29: It's open, and I could already
0:54:29 - 0:54:31: talk to Manuel, he told me that
0:54:31 - 0:54:33: tomorrow we are going to review the topic,
0:54:33 - 0:54:35: and he will take the step to review and close it.
0:54:35 - 0:54:37: So,
0:54:37 - 0:54:39: we are going to be together
0:54:39 - 0:54:41: as a meeting date.
0:54:45 - 0:54:47: Here is also
0:54:47 - 0:54:49: the file license
0:54:49 - 0:54:51: of related activities
0:54:51 - 0:54:53: executed and pending
0:54:53 - 0:54:55: by project.
0:54:55 - 0:54:57: That had a delivery date on March 30.
0:54:57 - 0:54:59: The date
0:54:59 - 0:55:1: was not counted with advance
0:55:1 - 0:55:3: regarding the projects,
0:55:3 - 0:55:5: so you can tell us
0:55:5 - 0:55:7: if there is any news.
0:55:11 - 0:55:13: Which one?
0:55:13 - 0:55:15: The file license
0:55:15 - 0:55:17: of related activities executed
0:55:17 - 0:55:19: and pending by project.
0:55:21 - 0:55:23: Which file?
0:55:23 - 0:55:25: That file came from
0:55:25 - 0:55:27: the audit of the
0:55:27 - 0:55:29: system of investment,
0:55:29 - 0:55:31: where it was requested
0:55:31 - 0:55:33: to give us the ability
0:55:33 - 0:55:35: to know what
0:55:35 - 0:55:37: activities of the chronograms,
0:55:37 - 0:55:39: let's say the chronograms from 2023
0:55:39 - 0:55:41: are closed
0:55:41 - 0:55:43: and which ones are pending.
0:55:47 - 0:55:49: Manuel, we are going to review
0:55:49 - 0:55:51: the file license.
0:55:51 - 0:55:53: Can I give it back?
0:55:53 - 0:55:55: I give it back.
0:55:57 - 0:55:59: Send it to me, please.
0:55:59 - 0:56:1: That's the commitment,
0:56:1 - 0:56:3: as it has a good time.
0:56:3 - 0:56:5: We would have to take
0:56:5 - 0:56:7: the previous chronogram
0:56:7 - 0:56:9: and see what is left.
0:56:9 - 0:56:11: All that would be completed.
0:56:11 - 0:56:13: Or how the file is structured.
0:56:13 - 0:56:15: Yes, it's an Excel.
0:56:15 - 0:56:17: Exactly.
0:56:17 - 0:56:19: An Excel that has all the projects.
0:56:19 - 0:56:21: And an observation is left.
0:56:25 - 0:56:27: Send the search results.
0:56:29 - 0:56:31: The most practical would be
0:56:31 - 0:56:33: what is left in execution
0:56:33 - 0:56:35: or in zero, and if it continues
0:56:35 - 0:56:37: in the next chronogram or
0:56:37 - 0:56:39: is discarded for this reason.
0:56:41 - 0:56:43: As for the pending file,
0:56:43 - 0:56:45: it was not carried out.
0:56:45 - 0:56:47: That's why.
0:56:53 - 0:56:55: There is one of the
0:56:55 - 0:56:57: Curbacol substations
0:56:57 - 0:56:59: referring to the lot
0:57:1 - 0:57:3: in which information was requested
0:57:3 - 0:57:5: from the area
0:57:5 - 0:57:7: and dimensions.
0:57:7 - 0:57:9: That commitment was fulfilled.
0:57:13 - 0:57:15: Another of the commitments is
0:57:15 - 0:57:17: to update risk matrices.
0:57:17 - 0:57:19: As we mentioned
0:57:19 - 0:57:21: previously,
0:57:21 - 0:57:23: the first revision
0:57:23 - 0:57:25: will be carried out on April 12.
0:57:25 - 0:57:27: We are still
0:57:27 - 0:57:29: pending to publish
0:57:29 - 0:57:31: the files of four or five projects.
0:57:35 - 0:57:37: Review the chronogram
0:57:37 - 0:57:39: of the Quad App contract
0:57:39 - 0:57:41: as a non-conformity justification
0:57:41 - 0:57:43: and evaluate the general delays
0:57:43 - 0:57:45: that are involved in the
0:57:45 - 0:57:47: project's chronogram.
0:57:47 - 0:57:49: Daniel mentioned it to us
0:57:49 - 0:57:51: now in the
0:57:51 - 0:57:53: follow-up that is done
0:57:53 - 0:57:55: with the Gambozte project chronogram.
0:57:57 - 0:57:59: According to what we have,
0:57:59 - 0:58:1: the communication was already
0:58:1 - 0:58:3: answered in that phase
0:58:3 - 0:58:5: of questions and answers.
0:58:7 - 0:58:9: The next thing
0:58:9 - 0:58:11: is to release
0:58:11 - 0:58:13: that non-conformity process
0:58:13 - 0:58:15: if necessary
0:58:15 - 0:58:17: and also
0:58:17 - 0:58:19: the following steps
0:58:19 - 0:58:21: and the information resulting
0:58:21 - 0:58:23: from the plan of action.
0:58:25 - 0:58:27: Finish the documents
0:58:27 - 0:58:29: required for the expansion of the contract
0:58:29 - 0:58:31: with EMS
0:58:31 - 0:58:33: for non-post compensation
0:58:33 - 0:58:35: and be able to take the contract
0:58:35 - 0:58:37: committee.
0:58:37 - 0:58:39: That was the follow-up.
0:58:39 - 0:58:41: I understood now that
0:58:41 - 0:58:43: it already has a value of even
0:58:43 - 0:58:45: 600 million.
0:58:45 - 0:58:47: Or 1600 more or less.
0:58:47 - 0:58:49: Ok.
0:58:49 - 0:58:51: That topic
0:58:51 - 0:58:53: I think we will do it well.
0:58:55 - 0:58:57: The documents were finalized
0:58:57 - 0:58:59: but a revision will be done.
0:58:59 - 0:59:1: Ok, well
0:59:1 - 0:59:3: I will leave it there.
0:59:3 - 0:59:5: A follow-up of
0:59:5 - 0:59:7: the new Arjona substation plot
0:59:7 - 0:59:9: and then a plan
0:59:9 - 0:59:11: sending
0:59:11 - 0:59:13: from the Aria Tecnica.
0:59:13 - 0:59:15: That commitment appears to be
0:59:15 - 0:59:17: paused.
0:59:17 - 0:59:19: I assume that now with this new
0:59:19 - 0:59:21: alignment of
0:59:21 - 0:59:23: the non-viability of Arjona
0:59:23 - 0:59:25: this year, then
0:59:25 - 0:59:27: it will continue to be paused and
0:59:27 - 0:59:29: I would believe that the most sensible
0:59:29 - 0:59:31: is to draw that commitment.
0:59:37 - 0:59:39: The other commitment
0:59:39 - 0:59:41: we have is to disassemble Solpe
0:59:41 - 0:59:43: of the cable and power
